Ticket,Date,Close,High,Low,Open,Volume
AAPL,2025-10-13,247.66000366210938,249.69000244140625,245.55999755859375,249.3800048828125,38142900
AAPL,2025-10-14,247.77000427246094,248.85000610351562,244.6999969482422,246.60000610351562,35478000
AAPL,2025-10-15,249.33999633789062,251.82000732421875,247.47000122070312,249.49000549316406,33893600
AAPL,2025-10-16,247.4499969482422,249.0399932861328,245.1300048828125,248.25,39777000
AAPL,2025-10-17,252.2899932861328,253.3800048828125,247.27000427246094,248.02000427246094,49147000
AAPL,2025-10-20,262.239990234375,264.3800048828125,255.6300048828125,255.88999938964844,90483000
AAPL,2025-10-21,262.7699890136719,265.2900085449219,261.8299865722656,261.8800048828125,46695900
AAPL,2025-10-22,258.45001220703125,262.8500061035156,255.42999267578125,262.6499938964844,45015300
AAPL,2025-10-23,259.5799865722656,260.6199951171875,258.010009765625,259.94000244140625,32754900
AAPL,2025-10-24,262.82000732421875,264.1300048828125,259.17999267578125,261.19000244140625,38221700
META,2025-10-13,715.7000122070312,719.9400024414062,707.6400146484375,713.010009765625,9251800
META,2025-10-14,708.6500244140625,715.5499877929688,699.3300170898438,707.780029296875,8829800
META,2025-10-15,717.5499877929688,723.9000244140625,709.510009765625,717.0599975585938,10246800
META,2025-10-16,712.0700073242188,725.489990234375,703.8800048828125,717.5499877929688,9017000
META,2025-10-17,716.9199829101562,718.5399780273438,706.1199951171875,707.0800170898438,12232400
META,2025-10-20,732.1699829101562,733.77001953125,720.1799926757812,721.1900024414062,8900200
META,2025-10-21,733.27001953125,738.5,728.75,736.02001953125,7647300
META,2025-10-22,733.4099731445312,740.5999755859375,724.030029296875,733.8300170898438,8734500
META,2025-10-23,734.0,742.4099731445312,733.0999755859375,734.7000122070312,9856000
META,2025-10-24,738.3599853515625,741.2100219726562,731.1500244140625,736.7899780273438,9137700
NVDA,2025-10-13,188.32000732421875,190.11000061035156,185.9600067138672,187.97000122070312,153482800
NVDA,2025-10-14,180.02999877929688,184.8000030517578,179.6999969482422,184.77000427246094,205641400
NVDA,2025-10-15,179.8300018310547,184.8699951171875,177.2899932861328,184.8000030517578,214450500
NVDA,2025-10-16,181.80999755859375,183.27999877929688,179.77000427246094,182.22999572753906,179723300
NVDA,2025-10-17,183.22000122070312,184.10000610351562,179.75,180.17999267578125,173135200
NVDA,2025-10-20,182.63999938964844,185.1999969482422,181.72999572753906,183.1300048828125,128544700
NVDA,2025-10-21,181.16000366210938,182.7899932861328,179.8000030517578,182.7899932861328,124240200
NVDA,2025-10-22,180.27999877929688,183.44000244140625,176.75999450683594,181.13999938964844,162249600
NVDA,2025-10-23,182.16000366210938,183.02999877929688,179.7899932861328,180.4199981689453,111363700
NVDA,2025-10-24,186.25999450683594,187.47000122070312,183.5,183.83999633789062,130942300
NFLX,2025-10-13,1219.030029296875,1231.1199951171875,1206.81005859375,1221.3499755859375,2460800
NFLX,2025-10-14,1215.3499755859375,1224.2900390625,1203.0999755859375,1214.75,2362400
NFLX,2025-10-15,1203.2900390625,1219.6199951171875,1201.6099853515625,1213.010009765625,2025200
NFLX,2025-10-16,1183.5899658203125,1216.7099609375,1176.0,1212.1500244140625,2832600
NFLX,2025-10-17,1199.3599853515625,1203.1199951171875,1178.949951171875,1183.5999755859375,2957100
NFLX,2025-10-20,1238.56005859375,1247.760009765625,1206.9000244140625,1207.8800048828125,3986200
NFLX,2025-10-21,1241.3499755859375,1248.5999755859375,1231.760009765625,1242.8299560546875,6508200
NFLX,2025-10-22,1116.3699951171875,1157.5999755859375,1112.510009765625,1142.9000244140625,14789000
NFLX,2025-10-23,1113.5899658203125,1127.8299560546875,1099.72998046875,1126.9000244140625,6849700
NFLX,2025-10-24,1094.68994140625,1114.510009765625,1094.4100341796875,1111.0,6009900
